"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz","S4.CEL.gz","S5.CEL.gz","S6.CEL.gz","S7.CEL.gz"
"OSTM1-AS1",3.29336985749124,3.29336985749124,3.27849987973308,3.29336985749124,3.29336985749124,3.29336985749124,3.35478255777174
"ACTRT2",5.43552994933306,5.43552994933306,5.37009686084394,5.43552994933306,5.43552994933306,5.33944879628189,5.94234592493602
"ZNF529-AS1",4.79964004301774,4.79964004301774,4.44245685270818,4.81198173820162,4.68048766085237,4.79964004301774,4.9256308560248
"ELOVL2-AS1",3.09531392280955,3.09502923666832,3.51740345846539,3.2512061353833,3.54879171355709,3.67007523584694,4.86376652944452
"RNU6-703P",3.2280310293947,3.35478255777174,3.35478255777174,3.18159771986093,3.36874220899646,3.35478255777174,3.92472607643177
"PDE11A-AS1",2.97831744581436,2.8925986622842,2.78825388537798,2.95307603751136,2.98851471044006,2.8925986622842,2.8925986622842
"SPATA31D1",5.92871082121034,5.81134019232386,5.95240873213648,5.89979457669664,5.98874007792025,6.24604568717439,6.10170823555971
"PSMD7-DT",3.44398707543529,3.27123043208103,3.35478255777174,3.17465631349932,3.35478255777174,3.47490051631365,3.35478255777174
"LINC00867",3.50628799113782,3.438119421096,3.53390394654133,4.00301481450284,3.61549980512661,3.51308485726308,3.9655884061201
"LINC02619",1.87057715644885,1.84740887326286,1.95412928213956,1.87057715644885,1.87057715644885,1.77833760910109,1.87057715644885
"FGF14-IT1",3.49049267616031,3.49049267616031,3.26370535281753,3.72219509767913,3.49049267616031,3.92861706552966,3.77303916003596
"TPBGL",6.08727875310799,5.82778996109308,5.99253285839042,5.53426610264999,6.18902425962633,6.03021795920075,6.25661703350979
"CYP4Z1",2.6256297317841,2.6129837372166,2.76188149455048,2.67832936885977,2.69580316082769,2.87128173642819,3.20866248299417
"MIR122",4.21988088840297,3.67610903114688,4.27956834076095,4.05977780601056,4.40387525333252,4.08103111777821,4.54425166900414
"MIR122HG",4.21988088840297,3.67610903114688,4.27956834076095,4.05977780601056,4.40387525333252,4.08103111777821,4.54425166900414
"RSPO4",6.77973653447846,5.70054295777168,5.61541993244164,5.60025025439191,6.15608980874606,6.35739934782148,5.61670305399314
"SORCS3-AS1",5.31676276531731,5.0437169004787,5.23670851374585,5.15808169118251,5.23670851374585,5.23670851374585,5.62971131558565
"TEX43",2.82680033689304,2.87722494244879,2.87722494244879,2.62264321290899,2.58418024894848,3.09546759548771,3.18050879204832
"MIR200CHG",5.64626968963528,5.73156833144026,5.47702927230685,5.79245834026673,5.73373636597878,5.87789243583539,5.80713138342525
"MIR141",5.64626968963528,5.73156833144026,5.47702927230685,5.79245834026673,5.73373636597878,5.87789243583539,5.80713138342525
"USP43",6.44279961286875,6.42148164251996,6.099722350935,6.62406244471558,6.14599393128752,6.44279961286875,6.55739766566544
"ADORA2A-AS1",4.50283827058067,4.53279778338585,4.59489131690922,4.53279778338585,4.63599232616183,4.56793762149892,4.53279778338585
"RTCA-AS1",2.29146904876818,2.29146904876818,2.29146904876818,2.29146904876818,2.29146904876818,2.29146904876818,2.26366965057565
"SP8",2.00444422906361,2.37468412209274,2.11182379041519,3.90690623265072,2.30601301357944,1.96585346414704,2.42533612138293
"SMIM32",7.39591924785776,6.88253696753754,7.02910249052248,7.18691260992464,6.95409536173366,7.49063804877586,7.18691260992464
"NLRP7",6.39455697226685,6.23145694567426,5.98034938759234,5.40996578716833,7.54952848618076,7.00472491590926,4.86930006602121
"ZFPM1",7.22472220716514,6.96733211082783,6.89989939716642,7.04958076109061,7.1776024985734,7.25413281712382,7.05770951656859
"CCDC152",9.54564266473691,8.31821314945664,9.40086091960261,8.35625655800122,9.80411701977862,8.94663781865686,10.4707952891025
"PDCL2",2.09184796416377,2.09184796416377,2.02574251959093,2.12816047708388,1.88486068199647,2.18712427186196,2.57592103261325
"SMCO3",3.08671994409971,2.63545236269293,3.14626421109802,2.86916166323254,3.35478255777174,3.07217597928845,3.13714454965545
"IL22RA2",4.1740925975765,4.25749955300605,4.23089880412077,4.25749955300605,4.25749955300605,4.70679444063298,4.39556787705296
"SLC5A8",6.04219128620205,5.89922399909646,6.03442230362735,6.09332856807301,6.20090355334816,6.09332856807301,6.09332856807301
"LINC01616",4.05527516962469,4.0632675471011,4.27619454475642,4.0632675471011,4.36229107478156,3.86536162848034,4.76861142326549
"NAV2-AS2",3.9908604250102,3.64312891696588,3.8134310986826,4.1516871341939,4.05136030531996,4.05136030531996,4.29460255968295
"PRSS58",4.96074483083311,4.96705888447192,4.85577043704849,4.95309925503031,5.3672677724085,4.87062993569009,5.05026099594127
"LINC00708",4.6865890946878,4.45087059323639,4.24231951192986,4.47886050791277,4.61065156289108,4.66452554788729,4.78152056969394
"LINC00644",2.47048673460077,2.44295099414535,2.38452105948146,2.49198431658779,2.60523884057337,2.63626995177855,2.47048673460077
"TBC1D8-AS1",4.59973936602117,4.70098690036022,4.69562311008352,4.71974724231299,4.69562311008352,4.79964004301774,4.69562311008352
"LINC01735",3.32792354013726,3.12418892581111,3.2608978390655,3.2608978390655,2.82520052445007,3.2608978390655,3.35240767959018
"LINC02582",3.85339325106257,4.13069207146544,4.48125213974114,4.10851607119739,4.0896724004234,4.48125213974114,5.25545312990675
"ZC2HC1B",3.95817299961087,3.88136233154693,3.77303916003596,3.90475168080977,4.06415005512533,3.98255419654004,3.56161984444521
"LMX1A-AS2",5.33188592163738,5.13015088971864,5.33188592163738,5.33188592163738,5.33188592163738,5.33188592163738,5.48328191592071
"SEC1P",5.24886917266309,5.08561250073502,4.79370027209022,5.36226603919748,5.1864033564057,5.49312470926618,5.0953800333001
"LINC02314",4.24802616067822,4.31414511206587,4.4880645397888,4.66155392299296,4.55046320634449,4.57907510603996,4.65215365873819
"C1orf100",3.842680723597,3.32844693194109,3.66008148154837,3.66256273020218,3.66008148154837,3.54879171355709,4.12158460576605
"LINC02546",3.6382695479979,3.19580561586581,3.42318405201372,3.35478255777174,3.36042797614368,3.59089920537409,3.66239437690307
"KCNH7-AS1",2.09437078611493,1.99806960703077,1.92280657837015,1.99806960703077,1.99806960703077,1.96585346414704,2.10778294634646
"PSMD14-DT",3.13180667198858,3.20069403505873,2.85565937109988,2.62904348287931,2.87722494244879,2.87722494244879,3.16515934107453
"SLC14A2-AS1",3.90504580899765,3.59291291576354,3.55234462304854,3.67310795054546,3.70153371882273,3.70847809088033,3.68986079159344
"FOXR1",3.18159771986093,3.17515600922282,2.80491611619369,3.4305543811176,3.22124084974274,3.27135751193126,3.60297907733256
"ODF3L2",6.39222683421628,6.00906978291106,6.13630966116514,6.20042576282563,6.37488861388498,6.34943073291644,6.58914154248071
"GABRG3-AS1",5.38216976196434,5.0069322030124,5.13799598331523,4.97442969424318,5.29520922934815,5.37276193798842,5.4863302148732
"IGKJ4",6.15767296941901,5.34819342134663,5.13078654477681,4.609201608502,7.30760971749565,7.37907554115045,4.03914341487162
"IGKJ2",6.15767296941901,5.34819342134663,5.13078654477681,4.609201608502,7.30760971749565,7.37907554115045,4.03914341487162
"IGKJ3",6.15767296941901,5.34819342134663,5.13078654477681,4.609201608502,7.30760971749565,7.37907554115045,4.03914341487162
"IGKJ5",6.15767296941901,5.34819342134663,5.13078654477681,4.609201608502,7.30760971749565,7.37907554115045,4.03914341487162
"TMEM207",5.13480923485547,5.16570488298604,5.03587235976692,5.13480923485547,5.03587235976692,5.13480923485547,5.2100722635161
"LINC00518",1.85360063776171,1.79371132893649,1.77833760910109,1.77833760910109,1.53015614953161,1.68913309143754,2.07792985218882
"PPP1R36",7.63656171869469,7.33283011251869,7.33283011251869,7.10326252755132,5.85078089191607,8.15272055348059,7.51854181310846
"LINC01815",2.95525648307233,2.95525648307233,2.78921782442341,2.96177975593195,2.704149183392,3.12712105470582,2.95525648307233
"BRINP3-DT",3.78860113916297,3.62485423570181,4.05551466901402,3.75878394111027,3.95322349944085,3.77303916003596,4.06512329207672
"LINC02221",2.8925986622842,2.93547763512369,2.8925986622842,2.95776185680013,2.88090220833359,2.8925986622842,2.90407049151959
"RBX1P2",3.60526872489861,3.63107359764444,3.81378790425911,3.78484604190286,4.31509027600234,3.54879171355709,4.23896885950734
"LINC02032",3.77334097996082,3.24862342093268,3.58025797053995,3.29183681299285,3.69320828879689,3.58025797053995,3.99054973177052
"TEX51",4.85540307108509,4.37450031651581,4.39025702318898,4.74697714634174,4.86846181676425,4.74697714634174,4.74697714634174
"LINC02283",4.44239374113879,4.11659258064325,4.29428978001555,4.23619711359714,4.47886050791277,4.24849754790113,4.75267693611647
"LINC00427",4.8197420946255,4.87877782133391,4.71491797131905,4.83977469493755,5.27182028123082,4.87877782133391,5.13701644771379
"C12orf54",5.50530667417125,5.47940039176103,5.39691926914476,5.63223999106315,5.58062403222735,5.50530667417125,5.44173020530471
"ZNF705A",2.65688016083279,2.65688016083279,2.65688016083279,2.66175979716675,2.65688016083279,2.65688016083279,2.761224937739
"ZNF705B",2.65688016083279,2.65688016083279,2.65688016083279,2.66175979716675,2.65688016083279,2.65688016083279,2.761224937739
"ZNF705G",2.65688016083279,2.65688016083279,2.65688016083279,2.66175979716675,2.65688016083279,2.65688016083279,2.761224937739
