"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz"
"OR4A1P",4.42698827157411,4.48459249152781,4.31802791712908
"TRAV25",4.14407266535339,4.14407266535339,4.14407266535339
"ZNF861P",5.59350538050104,5.29932931841499,5.70002620169082
"TRAV24",3.72879538089166,3.72879538089166,3.72879538089166
"TRAV34",3.47941273828648,3.69725147250666,3.47941273828648
"TRAV40",4.20876453353852,4.20876453353852,4.12538713653417
"TRAV5",3.98923952631319,3.98923952631319,3.95364712979544
"OR1I1",6.70416306043669,6.695632648377,6.67359602908106
"IL17F",5.19494043333176,4.42609172678521,4.10540122286429
"GABRR3",3.19173155227301,3.19173155227301,3.19173155227301
"MTCO2P34",3.47941273828648,3.31448826414572,3.09503057243833
"NUTM2F",7.52515029845533,7.7286544816573,7.5005056858113
"NUTM2G",7.52515029845533,7.7286544816573,7.5005056858113
"TRAV12-2",4.4701152551472,4.4701152551472,4.4701152551472
"LINC01808",3.15375258581332,3.15375258581332,3.15375258581332
"LINC02152",4.77876619263709,4.77876619263709,4.77876619263709
"TRDV3",4.37322309402368,4.27329722426158,4.27329722426158
"CLSTN2-AS1",4.36264594218102,4.36264594218102,4.36264594218102
"PROKR2",5.66005583435442,5.70616159759861,5.62223969024948
"DKKL1P1",5.71542575420006,5.4938749702257,5.4938749702257
"DPPA5P4",5.1364083713315,5.05318513038961,5.35593337855683
"EME1",7.78626612275476,6.8459397549006,7.66253157137546
"OR51B4",5.26221287152061,5.0308502886327,5.19494043333176
"SSU72P8",5.09312597931504,4.90474047353924,4.90474047353924
"GALNT13",3.62937979815497,3.66686909794624,3.66686909794624
"EIF3LP3",6.33336560159408,6.17167809174478,6.01359428284198
"OR51B2",5.4938749702257,5.45732234033774,5.24444959677215
"GMCL2",7.25187178277361,7.00403981010536,7.25187178277361
"LINC01257",3.22143820451675,3.28460140130895,3.22143820451675
"LINC02673",6.84830389228133,6.81270525296502,6.66885136952615
"BPIFB9P",4.50294059562457,4.50294059562457,4.50294059562457
"ANKRD60",4.53236172662632,4.53236172662632,4.53236172662632
"RPL7AP36",12.5814947091039,12.0699447223312,12.6031818775555
"ELOVL3",4.38187365861226,4.38187365861226,4.38187365861226
"SRMS",4.10948949970347,4.10948949970347,4.14407266535339
"OR51A10P",3.66686909794624,3.66686909794624,3.51493582670133
"NOBOX",6.26212024496544,6.26212024496544,6.26212024496544
"OR51I2",6.00232806943872,6.00232806943872,6.15559725282002
"OR51B6",4.61852867272461,4.61852867272461,4.61852867272461
"PCGEM1",3.02881834498882,3.02881834498882,3.11626328602204
"GCNT7",3.34027405889573,3.34027405889573,3.34027405889573
"OR14J1",5.10952485022382,5.10952485022382,5.10952485022382
"KCNK16",6.49262124459488,6.63056283626376,6.49262124459488
"LGALS8-AS1",6.65462845372113,6.65462845372113,6.65462845372113
"KLF18",3.52117004455345,3.52117004455345,3.45092171998836
"OR52D1",5.23003942368275,5.23003942368275,5.23003942368275
"TPM3P4",4.52035417579119,4.53236172662632,4.52035417579119
"OR51I1",5.13366258039603,5.13366258039603,5.13366258039603
"NSMCE1-DT",3.68526018925251,3.68526018925251,3.68526018925251
"KRTAP4-8",5.46303526146484,5.46303526146484,5.46303526146484
"KRTAP4-11",3.38052900952394,3.38052900952394,3.38052900952394
"KRTAP4-1",5.55239553883897,5.17753478452737,4.81955576838538
"KRTAP4-5",6.04351098625152,5.57130030924696,5.31085616382543
"NXF5",4.53236172662632,4.53236172662632,4.53236172662632
"NLRP2B",5.22824822156537,5.22824822156537,5.03524287463591
"LINC02887",5.70616159759861,5.70616159759861,5.70616159759861
"KRTAP4-2",4.31802791712908,4.16374955204928,4.1126299756288
"KRTAP4-3",3.38052900952394,3.38052900952394,3.38052900952394
"KRTAP9-3",3.54475144365496,3.54475144365496,3.58107680826771
"KRTAP17-1",5.45857042654324,5.46303526146484,5.45857042654324
"KRTAP4-6",5.66005583435442,5.66005583435442,5.66005583435442
"KRTAP4-4",3.52117004455345,3.52117004455345,3.52117004455345
"KRTAP4-9",3.80734126758129,3.77265274271931,3.77265274271931
"SUGT1P1",3.34027405889573,3.34027405889573,3.34027405889573
"PTCHD4",4.6130822538173,4.57559295402603,4.57559295402603
"KRTAP2-1",4.42609172678521,3.94436708306396,3.94436708306396
"NUTM2D",6.85486170002791,6.95401826347918,6.68724938682558
"NUTM2E",6.85486170002791,6.95401826347918,6.68724938682558
"NUTM2B",6.85486170002791,6.95401826347918,6.68724938682558
"NUTM2A",6.85486170002791,6.95401826347918,6.68724938682558
"PRSS47P",7.53277251887002,7.43253742162967,7.43253742162967
"RNASE7",3.94436708306396,3.94436708306396,3.94436708306396
"CFTR-AS1",2.87509479858573,2.90975856327903,2.90975856327903
"RN7SL725P",5.88574827551508,5.88574827551508,5.88574827551508
"GOLGA2P2Y",5.88574827551508,5.88574827551508,5.88574827551508
"RN7SL818P",5.88574827551508,5.88574827551508,5.88574827551508
"GOLGA2P3Y",5.88574827551508,5.88574827551508,5.88574827551508
"PCDHB18P",6.42765718972573,6.62818615902134,7.01719943942594
"SEMA4B",9.11619708956611,9.50729806097659,9.4264383647244
"MIR935",4.94592908807136,4.64824592909701,4.90474047353924
"OR2H4P",5.00888941870563,5.07262565391171,4.74186699632498
"IGLV1-47",10.8968629530256,11.5905478151756,8.2676750753901
"OR8D2",5.15722082922029,4.7205212099521,4.7205212099521
"FAR1P1",5.66159054499612,6.00605455981629,5.98725069746929
"OR51A1P",4.38187365861226,4.38187365861226,4.38187365861226
"KRTAP2-2",3.72879538089166,3.72879538089166,3.72879538089166
"LINC02504",6.25276486417084,6.1980996729743,5.94839000872769
"R3HDML",4.9154056606359,4.81239806181727,4.9154056606359
"DMBX1",3.38052900952394,3.38052900952394,3.49034023964117
"OR51M1",4.84915295855749,4.8186370618727,4.84915295855749
"OR1R1P",6.16510683624294,5.99481157894277,5.79567231539807
"KLHL31",4.09894788633461,4.09894788633461,4.09894788633461
"CABP7",5.66005583435442,5.71867652004669,5.66005583435442
"RPLP0P1",6.63056283626376,6.63056283626376,6.63056283626376
"CSTL1",4.67860055284466,4.28170801881983,4.4754273142336
"PROX2",4.09894788633461,4.09894788633461,4.09894788633461
"RPL7AP12",7.44638766330409,7.33761711865014,7.44638766330409
"TRAV26-2",5.16718625360337,4.98253700080902,4.98253700080902
"MAS1L",4.05388665096573,4.05388665096573,4.05388665096573
"KCTD13-DT",3.66686909794624,3.66686909794624,3.66686909794624
"FRG2EP",3.48597311228853,3.34027405889573,3.5043642035948
"LINC01859",4.53236172662632,4.53236172662632,4.53236172662632
"OR5V1",4.42609172678521,4.42609172678521,4.42609172678521
"TRAV8-1",5.70616159759861,5.70616159759861,5.70616159759861
"LINC00309",3.47941273828648,3.47941273828648,3.47941273828648
"TRAV6",4.27161406984287,4.27161406984287,4.14407266535339
"TRAV12-3",3.79479803820885,3.47941273828648,3.26657794489025
"MOGAT3",7.40872618889648,6.89306008931717,7.44362983189098
"TRAV22",3.83581593951151,4.04008873201739,3.58853147537951
"CNN2P10",6.91188485165045,6.91188485165045,6.91188485165045
"TRAV20",4.57559295402603,4.57559295402603,4.57559295402603
"LINC03003",4.27329722426158,4.3066398621459,4.27329722426158
"TRBV25-1",3.910821043344,3.910821043344,3.910821043344
"TRAV39",3.94436708306396,3.94436708306396,3.94436708306396
"RPL7AP50",13.5410319711778,13.4965728817445,13.5904322339265
"RPL7AP20",13.5410319711778,13.4965728817445,13.5904322339265
"RPL7AP10",9.36285587020003,8.95238236624214,9.24107204188509
"TRBV7-3",5.66005583435442,5.66005583435442,5.50652014329489
"RPS26P57",6.43742470249781,6.37068755202533,6.37068755202533
"TRBV24-1",4.73757757810497,4.73757757810497,4.73757757810497
"ITIH6",4.8890807980708,4.8890807980708,4.97652573910402
"LY6G6F",5.279841161635,5.279841161635,5.42053819338481
"SNAI1P1",5.11439421053665,5.07262565391171,5.07262565391171
"H2BW2",4.7418228763945,4.98253700080902,4.7418228763945
"OR5G1P",4.20876453353852,4.23542247224787,4.20876453353852
"OR2B3",4.22126266575467,4.09198778145871,4.09894788633461
"GNAO1-AS1",5.34340534262025,5.34340534262025,5.31085616382543
"TTTY4",4.4701152551472,4.55756019618042,4.55756019618042
"TTTY4C",4.4701152551472,4.55756019618042,4.55756019618042
"TTTY4B",4.4701152551472,4.55756019618042,4.55756019618042
"ZNF470",4.94386683690745,4.54501516747174,5.28011747084068
"ZNF687",7.16406348650824,6.87244749110688,7.05172735506344
"LINC00917",4.50294059562457,4.46873119395307,4.46873119395307
